8.4723,9.9505,11.593,12.403,13.314,13.651,13.671,13.82,13.563,13.621,12.831,12.731,12.479,11.639,11.451,10.75,10.125,9.1898,8.5107,7.5742,6.6494,4.9982,4.2093,3.3246,3.7473,4.1851,5.2381,6.0205,6.7399,6.5938
13.327,15.009,15.635,16.682,16.823,16.728,16.228,15.928,15.377,15.328,15.118,14.647,14.745,14.918,14.842,14.839,14.767,14.536,14.68,15.003,15.505,15.593,15.769,16.432,16.453,17.142,16.498,16.013,14.419,13.784
8.1553,9.8067,11.195,12.104,12.995,13.253,13.84,13.629,13.361,13.367,12.953,12.249,11.822,11.563,11.206,10.78,9.9211,9.2848,8.1836,7.4607,6.4235,5.1974,3.8043,3.5834,3.6617,4.0468,5.1694,5.8296,6.761,6.9795
8.8099,10.139,11.086,12.237,13.03,13.263,13.326,13.253,13.179,13.11,12.817,12.437,12.058,11.936,11.734,11.396,10.944,10.007,9.6195,8.6126,7.9508,6.6349,5.7378,5.7439,6.0935,6.356,6.3501,6.8857,7.003,6.9163
8.889,10.138,11.039,11.622,12.754,13.411,13.177,13.209,13.483,13.326,12.751,12.331,11.79,11.876,11.686,11.542,10.912,10.187,9.5757,8.9021,8.0016,6.8253,6.1337,6.2481,6.4194,6.6094,6.9618,6.5475,6.6953,6.4784
9.3014,10.651,11.752,12.641,13.651,13.676,14.107,14.098,13.952,13.856,13.661,13.007,12.668,12.481,12.366,12.148,11.648,11.015,10.285,9.3926,8.6834,7.4019,6.4774,6.3822,6.3872,6.7165,7.5072,7.0847,7.6128,7.2097
8.4611,9.7794,10.958,11.586,12.31,12.991,13.111,13.098,12.752,12.803,12.194,12.261,12.072,11.498,11.638,11.408,10.855,10.167,9.6904,9.0508,8.2035,6.7577,6.3094,5.8395,6.1188,6.2788,6.5117,6.3849,6.8836,6.3897
8.7665,9.995,11.32,11.996,12.594,13.26,13.388,13.399,13.257,12.949,12.793,12.444,12.333,12.004,11.856,11.393,10.741,10.332,9.8434,9.0338,8.4801,7.2786,6.8367,6.6366,6.3199,6.4085,7.0207,6.3221,6.9727,6.7818
14.979,16.564,18.111,18.943,18.8,18.484,18.167,17.732,16.796,16.996,16.286,16.318,16.532,15.935,16.226,16.156,15.935,15.703,15.659,16.353,16.342,16.539,17.412,17.536,18.169,18.201,17.995,17.245,15.461,14.453
7.3105,9.1047,10.049,11.157,11.925,12.652,12.947,13.165,12.983,12.917,12.738,12.504,12.448,12.448,12.096,11.822,11.303,10.952,10.207,9.1141,8.2046,7.243,5.8392,5.3131,4.8171,5.1794,5.1597,5.2417,5.3033,5.2337
12.049,13.65,14.605,15.438,15.397,15.283,15.194,14.634,14.201,14.14,13.694,13.575,13.481,13.72,13.47,13.514,13.716,13.58,13.676,13.875,14.072,14.551,14.572,15.145,15.393,15.539,15.295,14.796,13.258,12.418
13.441,14.912,16.373,17.054,17.303,16.945,16.964,16.248,15.644,15.864,15.362,15.006,15.432,15.056,14.799,15.19,15.07,15.053,15.321,15.541,16.178,15.821,16.845,17.255,17.587,17.489,17.713,16.709,15.027,14.072
12.31,13.414,14.546,15.224,15.282,15.174,15.195,14.872,14.241,14.014,13.818,13.492,13.589,13.483,13.511,13.623,13.412,13.532,13.618,14.054,14.105,14.422,14.822,15.023,15.551,15.676,15.718,14.578,13.407,12.619
13.851,15.28,16.639,17.641,17.282,17.432,17.395,16.894,15.722,15.966,15.534,15.265,15.529,14.956,14.855,15.08,15.324,15.192,15.422,15.586,16.348,16.11,16.814,17.118,17.513,17.654,17.592,16.531,15.171,14.064
